FID,OBJECTID,Comment,YEAR_BUILT,PORTS,PRIVATE,LAT,LONG,ELEV,Hydrant_Ty,Address_Nu,Street_Nam,Repairs_Ne,Last_Maint,Maintained,PSI,POINT_X,POINT_Y,POINT_Z,POINT_M
255,256, ,1991,3,N,45.510463368300002,-122.380890559999997,66.925979888300006,Waterous 67,4387.000000000000000,SWEETBRIAR,Need Paint,4/14/2014 0:00:00,Y,80,7719957.590320000424981,677812.560180000029504,66.926000000000002,0.000000000000000
256,257,needs orings,1973,3,N,45.515672649000003,-122.380343769000007,51.259348588400002,Iowa,3660.000000000000000,EVANS,Need Paint,4/17/2014 0:00:00,Y,70,7720141.794669999741018,679706.503899000003003,0.000000000000000,0.000000000000000
257,258,new hydrant,1979,3,N,45.516886653800000,-122.378784526999993,50.147760570999999,Waterous 67,3320.000000000000000,EVANS,Replace Reflector,9/5/2014 0:00:00,Y,80,7720551.257760000415146,680139.377049000002444,50.147799999999997,0.000000000000000
258,259,needs orings,1973,3,N,45.517613571799998,-122.378335358000001,48.709496100300001,Iowa,3275.000000000000000,EVANS,Need Paint,4/17/2014 0:00:00,Y,80,7720673.568210000172257,680402.494632999994792,48.709499999999998,0.000000000000000
259,260, ,1998,3,N,45.518393083900001,-122.380603629999996,48.222007692600002,Kennedy,3133.000000000000000,HAMPTON,Need Paint,4/17/2014 0:00:00,Y,75,7720098.249149999581277,680699.595417000004090,0.000000000000000,0.000000000000000
260,261, ,1998,3,N,45.518880012300002,-122.379881522000005,47.722844933799998,Kennedy,3213.000000000000000,HAMPTON,Need Paint,4/17/2014 0:00:00,Y,75,7720287.374760000035167,680872.474992000032216,0.000000000000000,0.000000000000000
261,262, ,2000,3,N,45.518613842000001,-122.374611126999994,47.678263843300002,Clow,1465.000000000000000,32ND,Need Paint,5/22/2014 0:00:00,Y,75,7721636.115829999558628,680744.469341999967583,47.678300000000000,0.000000000000000
262,263, ,2001,3,N,45.518818058100003,-122.373099046999997,38.708481522600003,Clow,3196.000000000000000,HALL,Need Paint,5/22/2014 0:00:00,Y,85,7722024.895890000276268,680809.695261999964714,0.000000000000000,0.000000000000000
263,264, ,2005,3,N,45.519657439200003,-122.373088490000001,40.680901992000003,Clow,3164.000000000000000,HALL,Need Paint,4/23/2014 0:00:00,Y,85,7722034.720350000075996,681115.796683999942616,40.680900000000001,0.000000000000000
264,265, ,2005,3,N,45.519103854699999,-122.374244735000005,46.474558420500003,Clow,1517.000000000000000,SANDY DELL,Need Paint,4/23/2014 0:00:00,Y,75,7721733.758679999969900,680920.882703999988735,46.474600000000002,0.000000000000000
265,266, ,2000,3,N,45.518103480500002,-122.374835555000004,49.865895738100001,Clow,0.000000000000000,STARK,Need Paint,5/22/2014 0:00:00,Y,70,7721574.833800000138581,680559.241037999978289,49.865900000000003,0.000000000000000
266,267,needs orings,1973,3,N,45.518528400599997,-122.377775705000005,47.424997020200003,Iowa,3150.000000000000000,EVANS,Need Paint,4/17/2014 0:00:00,Y,80,7720824.563319999724627,680732.213132999953814,0.000000000000000,0.000000000000000
267,268,needs nozzle repair hydrant  spun,1990,3,N,45.520112473300003,-122.376902842999996,44.561142696200001,Waterous 67,2924.000000000000000,LEWELLYN,Need Paint,4/18/2014 0:00:00,Y,80,7721061.104179999791086,681304.278918000054546,44.561100000000003,0.000000000000000
268,269,needs orings,1977,3,N,45.520693410200003,-122.375809457000003,41.121330357600002,Pacific States,2828.000000000000000,LEWELLYN,Need Paint,4/18/2014 0:00:00,Y,75,7721347.243049999698997,681510.220436000032350,0.000000000000000,0.000000000000000
269,270,needs extension  kit  kit,1977,3,N,45.521135323899998,-122.375092265000006,38.778148221599999,Pacific States,2748.000000000000000,LEWELLYN,Need Paint,4/18/2014 0:00:00,Y,85,7721534.575020000338554,681667.539675000007264,0.000000000000000,0.000000000000000
270,271,needs orings,1974,3,N,45.522942473599997,-122.375565425000005,36.294630026199997,Pacific States,2612.000000000000000,LEWELLYN,Need Paint,4/18/2014 0:00:00,Y,90,7721427.825889999978244,682327.946818999946117,36.294600000000003,0.000000000000000
271,272,very stiff,1978,3,N,45.523773832800003,-122.376080603000005,35.736172338899998,Dresser 500,2424.000000000000000,LEWELLYN,Need Paint,4/18/2014 0:00:00,Y,90,7721302.860919999890029,682634.049880999955349,35.736199999999997,0.000000000000000
272,273, ,1978,3,N,45.526475182799999,-122.376004859000005,33.552815156299999,Dresser 500,2014.000000000000000,LEWELLYN,Need Paint,5/15/2014 0:00:00,Y,90,7721345.068509999662638,683618.196206999942660,33.552799999999998,0.000000000000000
273,274,needs paint,1978,3,N,45.528439841900003,-122.374719212000002,32.029590416100000,Dresser 500,1731.000000000000000,LEWELLYN,Replace Reflector,5/21/2014 0:00:00,Y,100,7721691.156069999560714,684326.753517000004649,32.029600000000002,0.000000000000000
274,275, ,1980,3,N,45.530402602199999,-122.378086503999995,31.145746520100001,Muller SC,1480.000000000000000,EVANS,Need Paint,5/21/2014 0:00:00,Y,100,7720845.079029999673367,685062.237938000005670,31.145700000000001,0.000000000000000
275,276,COLLECT DATA,1989,3,N,45.531929655100001,-122.377777997999999,30.757432988000001, ,1242.000000000000000,EVANS,Need Paint,5/21/2014 0:00:00,Y,98,7720937.056200000457466,685617.025214000022970,0.000000000000000,0.000000000000000
276,277, ,1989,3,N,45.530914696700002,-122.376336817999999,30.287909130700001,Muller SC,1407.000000000000000,EVANS,Need Paint,5/21/2014 0:00:00,Y,103,7721297.674909999594092,685238.483648000052199,0.000000000000000,0.000000000000000
